keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'cold days climate change',-0.18356380890502222,0.533410190414213,0.2803638286411355,0.8315764240108601,7.0
'cold front',-0.16513778691123254,0.7470747906741164,0.10086140087950643,0.8093347903429197,127.0
'cold impacts',-0.09042712309001638,0.8280579395897121,0.2070956524829822,0.8697622095764117,135.0
'cold snap',-0.22813913500083852,0.7795671130522978,0.2738367056956519,0.8084320177938628,139.0
'cold spell',-0.060006832570141985,0.8614793471167962,0.21357746408718392,0.859874225698043,128.0
'cold wave',-0.3110764617193724,0.7796350909459039,0.2724826780095467,0.8464175531405058,128.0
'colder than usual',0.48462530759426975,0.7848268351210851,-0.3035562804699348,0.8414000571452489,127.0
'extreme cold',-0.24957431706846264,0.6856156517754324,0.4335543747117755,0.6992679382215825,150.0
'heating system',0.35630706892966163,0.8779906501794001,-0.23226132271731886,0.8943711695912863,128.0
'insulation house',0.331309362835761,0.8814823143500798,-0.26099015296014105,0.9047412820898589,127.0
veryUnusualAndNeverUsedKeyword,-0.24339179603929617,2.422083786206713,0.003991294783655702,0.36194889886558457,2.0
